,School Name,school type,drop
265,Paya Lebar Methodist Girls' School (Secondary),Secondary,keep
266,Anglo-Chinese Junior College,Secondary,drop
267,Paya Lebar Methodist Girls' School (Primary),Secondary,keep
269,Pei Hwa Secondary School,Secondary,keep
272,Peirce Secondary School,Secondary,keep
275,Presbyterian High School,Secondary,keep
276,Saint Andrew's Junior College,Secondary,drop
279,Queenstown Secondary School,Secondary,keep
281,Queensway Secondary School,Secondary,keep
283,Raffles Girls' School (Secondary),Secondary,keep
284,Integrated Programme,Secondary,drop
285,Raffles Institution,Secondary,keep
287,Raffles Institution,Secondary,keep
288,Integrated Programme,Secondary,drop
289,Raffles Girls' School (Secondary),Secondary,keep
292,Riverside Secondary School (Singapore),Secondary,keep
294,"River Valley High School, Singapore",Secondary,keep
295,Special Assistance Plan,Secondary,drop
296,Integrated Programme,Secondary,drop
298,Saint Andrew's Secondary School,Secondary,keep
300,"Saint Patrick's School, Singapore",Secondary,keep
302,"School of Science and Technology, Singapore",Secondary,keep
303,Direct School Admission,Secondary,drop
304,Singapore-Cambridge GCE Ordinary Level,Secondary,keep
306,"School of the Arts, Singapore",Secondary,keep
307,Direct School Admission,Secondary,drop
308,International Baccalaureate,Secondary,drop
310,Sembawang Secondary School,Secondary,keep
312,Seng Kang Secondary School,Secondary,keep
314,Serangoon Garden Secondary School,Secondary,keep
316,Serangoon Secondary School,Secondary,keep
318,Shuqun Secondary School,Secondary,keep
320,Singapore Chinese Girls' School,Secondary,keep
321,Integrated Programme,Secondary,drop
322,Integrated Programme,Secondary,drop
323,Secondary education in Singapore,Secondary,drop
324,Eunoia Junior College,Secondary,drop
325,CHIJ Saint Nicholas Girls' School,Secondary,keep
326,"Catholic High School, Singapore",Secondary,keep
327,Singapore Chinese Girls' School,Secondary,keep
329,Singapore Sports School,Secondary,keep
330,Direct School Admission,Secondary,drop
332,Springfield Secondary School,Secondary,keep
334,St. Anthony's Canossian Secondary School,Secondary,keep
335,Catholic Junior College,Secondary,drop
336,Canossa Convent Primary School,Secondary,drop
337,Primary schools in Singapore,Secondary,drop
339,St. Gabriel's Secondary School,Secondary,keep
340,Catholic Junior College,Secondary,drop
341,St. Gabriel's Primary School,Secondary,drop
343,St. Hilda's Secondary School,Secondary,keep
344,Saint Andrew's Junior College,Secondary,drop
345,St. Hilda's Primary School,Secondary,drop
347,St. Margaret's Secondary School,Secondary,keep
349,St. Joseph's Institution,Secondary,keep
350,Integrated Programme,Secondary,drop
351,Integrated Programme,Secondary,drop
352,Secondary education in Singapore,Secondary,drop
353,Catholic Junior College,Secondary,drop
354,"De La Salle School, Singapore",Secondary,keep
355,St. Joseph's Institution Junior,Secondary,keep
356,"Saint Stephen's School, Singapore",Secondary,keep
357,Saint Anthony's Primary School,Secondary,drop
359,Swiss Cottage Secondary School,Secondary,keep
361,Tanglin Secondary School,Secondary,keep
363,Tampines Secondary School,Secondary,keep
365,Tanjong Katong Girls' School,Secondary,keep
367,Tanjong Katong Secondary School,Secondary,keep
369,Teck Whye Secondary School,Secondary,keep
371,Temasek Academy,Secondary,keep
372,Integrated Programme,Secondary,drop
374,Temasek Secondary School,Secondary,keep
377,Victoria School,Secondary,keep
378,Integrated Programme,Secondary,drop
379,Integrated Programme,Secondary,drop
380,Secondary education in Singapore,Secondary,drop
381,Victoria Junior College,Secondary,drop
382,Cedar Girls' Secondary School,Secondary,keep
384,West Spring Secondary School,Secondary,keep
386,Westwood Secondary School,Secondary,keep
388,Whitley Secondary School,Secondary,keep
393,Xinmin Secondary School,Secondary,keep
395,Yio Chu Kang Secondary School,Secondary,keep
397,Yishun Secondary School,Secondary,keep
399,Yishun Town Secondary School,Secondary,keep
401,Yuan Ching Secondary School,Secondary,keep
403,Yuhua Secondary School,Secondary,keep
405,Yusof Ishak Secondary School,Secondary,keep
407,Yuying Secondary School,Secondary,keep
409,Zhenghua Secondary School,Secondary,keep
411,Zhonghua Secondary School,Secondary,keep
